PLAYER,MAT,100
M Guptill,83.0,
S Malik,,
D Warner,76.0,
E Morgan,86.0,
M Shahzad,65.0,
J Duminy,81.0,
P Stirling,72.0,
M Hafeez,89.0,
A Finch,58.0,
L Taylor,95.0,
U Akmal,84.0,
A Villiers,78.0,
H Masakadza,66.0,
A Hales,60.0,
C Gayle,58.0,
M Dhoni,98.0,
T Iqbal,75.0,
M Samuels,67.0,
S Raina,78.0,
G Maxwell,61.0,
S Hasan,76.0,
C Munro,60.0,
K Williamson,57.0,
S Dhawan,58.0,
K O'Brien,90.0,
A Shehzad,59.0,
M Mahmudullah,83.0,
S Afridi,99.0,
B Azam,36.0,
K Coetzer,58.0,
F Plessis,44.0,
M Nabi,75.0,
D Miller,72.0,
H Amla,44.0,
M Rahim,84.0,
J Buttler,66.0,
R Berrington,61.0,
G Wilson,78.0,
Y Singh,58.0,
M Perera,42.0,
N Perera,79.0,
A Afghan,66.0,
K Rahul,34.0,
B Cooper,51.0,
W Porterfield,61.0,
K Pollard,68.0,
A Mathews,72.0,
C MacLeod,49.0,
Q Kock,38.0,
L Simmons,49.0,
K Akmal,58.0,
H Munsey,38.0,
S Shinwari,62.0,
S Anwar,32.0,
S Rahman,44.0,
N Zadran,57.0,
J Root,32.0,
M O'Dowd,36.0,
E Chigumbura,54.0,
E Lewis,29.0,
S Williams,38.0,
B Taylor,38.0,
S Ahmed,58.0,
L Chandimal,54.0,
W Barresi,42.0,
S Sarkar,46.0,
A Balbirnie,37.0,
P Khadka,30.0,
A Fletcher,42.0,
F Zaman,34.0,
M Cross,43.0,
J Roy,32.0,
S Myburgh,33.0,
C Kapugedera,43.0,
M Usman,34.0,
C Obuya,35.0,
T Ura,23.0,
P Borren,43.0,
D Ramdin,71.0,
C Chibhabha,33.0,
M Waller,32.0,
R Mustafa,38.0,
J Bairstow,34.0,
J Singh,25.0,
R Hendricks,22.0,
D Short,20.0,
M Pandey,32.0,
D Sammy,68.0,
P Collingwood,36.0,
S Smith,36.0,
N Khan,34.0,
Z Maqsood,29.0,
B Hayat,24.0,
K Sadiq,36.0,
R Doeschate,22.0,
R Patel,30.0,
H Zazai,13.0,
F Behardien,38.0,
N Zadran,20.0,
N Mangal,32.0,
L Das,25.0,
S Shafiqullah,46.0,
C Anderson,31.0,
G Malla,24.0,
C Grandhomme,33.0,
T Visee,27.0,
M Chapman,24.0,
G Bailey,30.0,
B Mendis,24.0,
G Naib,45.0,
A Russell,47.0,
P Seelaar,69.0,
C Ervine,22.0,
A Vala,26.0,
D Malan,9.0,
R Merwe,43.0,
K Ali,29.0,
M Gunathilaka,21.0,
R Shahzad,22.0,
U Ghani,19.0,
N Kumar,18.0,
M Shanaka,35.0,
N Dickwella,23.0,
M Tanveer,15.0,
S Aziz,14.0,
R Pant,26.0,
A Ilyas,22.0,
T David,12.0,
M Erasmus,16.0,
W Tharanga,26.0,
S Raza,32.0,
K Karthik,32.0,
R Cheema,24.0,
S Baard,13.0,
A Obanda,30.0,
C Amini,23.0,
M Mortaza,54.0,
J Rasu,13.0,
H Talat,14.0,
J Jenner,17.0,
P Moor,21.0,
N Dhaliwal,12.0,
L Ronchi,33.0,
R Sandaruwan,10.0,
S Bau,23.0,
K Shah,26.0,
S Billings,26.0,
S Chandramohan,12.0,
D Bravo,20.0,
J Vince,12.0,
N Davin,16.0,
S Edwards,29.0,
A Ali,25.0,
F Javed,15.0,
S Thompson,41.0,
A Kaleem,25.0,
A Rath,20.0,
N Vanua,25.0,
T Head,16.0,
T Seifert,19.0,
B Stevens,17.0,
G Delany,17.0,
N Nipiko,14.0,
N Pooran,16.0,
R Powell,23.0,
V Singh,12.0,
C Brathwaite,41.0,
H Pandya,40.0,
S Vesawkar,17.0,
N Ferraby,14.0,
T Sajjad,12.0,
L Siaka,26.0,
K Khan,14.0,
R Mutumbami,22.0,
B Bhandari,27.0,
C Lynn,18.0,
D Airee,18.0,
I Karim,16.0,
M Shahzad,20.0,
T Bruce,15.0,
S Hetmyer,20.0,
T Siriwardana,22.0,
A Javed,22.0,
R Singh,12.0,
P Matautaava,10.0,
S Taylor,8.0,
M Santner,39.0,
I Wasim,41.0,
D Rawlins,11.0,
A Idrees,6.0,
N Tarakai,12.0,
D Silva,13.0,
M Singh,12.0,
R Burl,16.0,
H Dussen,9.0,
W Barkat,22.0,
S Mire,9.0,
G Dockrell,73.0,
C Williams,13.0,
J Kotze,12.0,
M Rishwan,11.0,
C Ackermann,11.0,
M Kashif,10.0,
M Leask,31.0,
S Poynter,25.0,
A Khan,30.0,
A Ahmed,12.0,
S Hope,13.0,
M Ali,25.0,
F Couana,7.0,
H Tector,14.0,
B Stokes,23.0,
H Gori,7.0,
M Rizlan,15.0,
R Gurbaz,7.0,
C Bisson,14.0,
S Iyer,14.0,
I Udana,27.0,
D Gunaratne,12.0,
I Inam-ul-Haq,11.0,
G Jayasuriya,16.0,
S Sharif,10.0,
C Walton,19.0,
D Blampied,17.0,
T Southee,66.0,
C Jordan,43.0,
M Rippon,18.0,
K Kulasekara,58.0,
E Munaweera,13.0,
B Ward,13.0,
S Prasanna,20.0,
S Wickramasekara,5.0,
H Arshad,10.0,
H Sohail,14.0,
K Nawaz,18.0,
B Zalmai,5.0,
G Shabber,17.0,
B Perera,8.0,
B Mendis,22.0,
J Smit,12.0,
A Faiz,10.0,
J Butler,9.0,
K Leverock,12.0,
D Gondaria,11.0,
R Panchal,9.0,
S Kami,28.0,
S Tanvir,57.0,
Y Ali,9.0,
A Sheikh,11.0,
S Davizi,2.0,
R Rohan,10.0,
A Hassan,11.0,
